day,hour,delivery_time
0,0,1628.4354243542439
0,1,1681.6355932203394
0,2,1727.2378378378378
0,3,1798.248062015504
0,4,1942.5806451612902
0,5,1963.4722222222222
0,6,2179.0
0,7,2235.962962962963
0,8,2336.1621621621625
0,9,1987.5570469798654
0,10,1868.2994923857877
0,11,1831.436090225564
0,12,1770.6699029126212
0,13,1647.1241830065358
0,14,1502.916413373861
0,15,1543.6891592920354
0,16,1682.9183333333335
0,17,1712.9358178053835
0,18,1682.0254041570436
0,19,1622.890710382514
0,20,1454.2524644030664
0,21,1467.4261527377519
0,22,1451.9299465240645
0,23,1440.476363636364
1,0,1513.0395480226002
1,1,1645.7318181818189
1,2,1849.4347826086957
1,3,1801.4814814814815
1,4,1917.291666666667
1,5,2142.233333333333
1,6,1963.576923076923
1,7,2383.1111111111113
1,8,1883.4528301886796
1,9,1950.5704225352113
1,10,1758.2835820895525
1,11,1754.39590443686
1,12,1639.3202357563848
1,13,1511.693504117109
1,14,1481.088510638298
1,15,1544.1200466200455
1,16,1608.049723756906
1,17,1726.2440758293833
1,18,1739.6241457858766
1,19,1591.7154811715484
1,20,1512.3331524687997
1,21,1478.8672794117665
1,22,1498.0972722593926
1,23,1407.18396846255
2,0,1548.9654088050306
2,1,1588.9074074074085
2,2,1854.1756756756756
2,3,1912.738461538462
2,4,1973.7777777777778
2,5,1974.392857142857
2,6,2244.5517241379316
2,7,1897.32
2,8,1744.9117647058827
2,9,1817.2839506172847
2,10,1761.5876777251178
2,11,1824.0116731517512
2,12,1653.1138059701493
2,13,1506.4524017467252
2,14,1420.045561665357
2,15,1485.1793103448276
2,16,1564.458333333333
2,17,1684.0119331742244
2,18,1757.8406466512702
2,19,1587.725247524752
2,20,1457.9408960915166
2,21,1466.2255994596424
2,22,1441.802590673575
2,23,1418.2543209876544
3,0,1552.8258258258259
3,1,1555.9211618257261
3,2,1799.899159663866
3,3,2091.8333333333335
3,4,1928.5744680851064
3,5,1783.0
3,6,2053.296296296296
3,7,1624.9444444444443
3,8,1963.379310344827
3,9,1915.61403508772
3,10,1971.4326923076928
3,11,1854.5471698113208
3,12,1636.2809917355373
3,13,1488.0803571428576
3,14,1426.6347131445168
3,15,1576.9617834394896
3,16,1650.7363344051444
3,17,1768.601431980907
3,18,1755.4501915708813
3,19,1651.1097852028645
3,20,1580.6588084012
3,21,1629.3245830759736
3,22,1599.1905405405405
3,23,1510.6482683982683
4,0,1703.9449035812675
4,1,1672.3830645161288
4,2,1834.042253521127
4,3,1855.3434343434344
4,4,1813.2978723404253
4,5,2265.4210526315787
4,6,2083.9642857142862
4,7,2473.1249999999995
4,8,2005.422535211268
4,9,1903.1049723756905
4,10,1889.0380228136878
4,11,1863.6286644951135
4,12,1651.7713365539455
4,13,1543.254261363637
4,14,1451.3002610966064
4,15,1451.7335526315794
4,16,1582.1081081081077
4,17,1628.4429657794678
4,18,1657.2270833333334
4,19,1523.8178528347403
4,20,1473.6340973059907
4,21,1611.5894653255687
4,22,1597.594137931034
4,23,1501.7065481002428
5,0,1594.6336134453784
5,1,1658.9353846153847
5,2,1732.851674641149
5,3,1826.621794871795
5,4,1813.7157894736843
5,5,1852.8947368421045
5,6,1922.2500000000002
5,7,2117.8918918918916
5,8,1766.6785714285713
5,9,1842.8939393939395
5,10,1733.9953271028037
5,11,1704.063909774436
5,12,1580.7051926298157
5,13,1475.6574074074074
5,14,1442.3971845148317
5,15,1482.429351535836
5,16,1549.9509594882722
5,17,1611.8152777777784
5,18,1631.8772189349108
5,19,1579.2655555555555
5,20,1462.264730639731
5,21,1526.8954979536152
5,22,1507.4049964813512
5,23,1476.8832807570975
6,0,1570.2578125000005
6,1,1603.218855218855
6,2,1723.6294642857142
6,3,1973.7950310559
6,4,1892.935483870968
6,5,1944.5000000000002
6,6,1779.0344827586207
6,7,1492.2222222222226
6,8,1663.2745098039215
6,9,1755.5813953488373
6,10,1700.9424083769632
6,11,1705.7389830508475
6,12,1548.867781155015
6,13,1484.415309446254
6,14,1511.816165413534
6,15,1463.8958733205382
6,16,1492.7491856677527
6,17,1546.7964989059076
6,18,1588.297529538129
6,19,1496.838639652678
6,20,1465.681204276872
6,21,1627.6168100595626
6,22,1589.4297150176112
6,23,1447.9142857142851
